0.050007034  0.150019197  1.0  3.0	
0.15502	0.95537
0.15552	0.94564
0.15602	0.93484
0.15652	0.92295
0.15702	0.90994
0.15752	0.8958
0.15802	0.8805
0.15852	0.86402
0.15902	0.84638
0.15952	0.82756
0.16002	0.80758
0.16052	0.78648
0.16102	0.76429
0.16152	0.74108
0.16202	0.7169
0.16252	0.69186
0.16302	0.66605
0.16353	0.63959
0.16402	0.61261
0.16452	0.58525
0.16502	0.55767
0.16552	0.53001
0.16602	0.50243
0.16652	0.47508
0.16702	0.44819
0.16752	0.42172
0.16802	0.39589
0.16852	0.37081
0.16903	0.34657
0.16952	0.32327
0.17003	0.30096
0.17052	0.27968
0.17102	0.25948
0.17152	0.24037
0.17202	0.22234
0.17252	0.2054
0.17302	0.18952
0.17352	0.17467
0.17402	0.16083
0.17453	0.14795
0.17502	0.13599
0.17553	0.12491
0.17602	0.11465
0.17653	0.10517
0.17702	0.09643
0.17753	0.08837
0.17802	0.08095
0.17852	0.07412
0.17902	0.06784
0.17952	0.06208
0.18003	0.05679
0.18052	0.05194
0.18103	0.04749
0.18152	0.04341
0.18203	0.03968
0.18252	0.03626
0.18303	0.03312
0.18352	0.03024
0.18403	0.02761
0.18452	0.02522
0.18502	0.02302
0.18552	0.02101
0.18602	0.01917
0.18653	0.01749
0.18702	0.01595
0.18753	0.01455
0.18802	0.01326
0.18853	0.01208
0.18902	0.01099
0.18953	0.01
0.19002	0.00909
0.19053	0.00826
0.19102	0.00749
0.19152	0.00679
0.19203	0.00614
0.19252	0.00554
0.19303	0.00499
0.19352	0.00448
0.19403	0.00401
0.19452	0.00357
0.19503	0.00316
0.19552	0.00277
0.19603	0.00241
0.19652	0.00207
0.19703	0.00174
0.19753	0.00143
0.19803	0.00113
0.19853	0.00084103
0.19902	0.00056553
0.19953	0.0002809
0.20002	0

